City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,talnakh,69.4865,88.3972,-29.889999999999986,87,58,0.64,RU,1704157100
92,yangambi,0.8102,24.4336,22.84000000000003,81,100,0.99,CD,1704157101
93,holualoa,19.6228,-155.9522,25.910000000000025,70,40,5.66,US,1704157102
94,raja,8.4596,25.678,20.600000000000023,22,8,2.13,SS,1704157103
95,leczyca,52.0596,19.1997,4.74000000000001,90,98,4.72,PL,1704157104
96,ippy,6.2679,21.2247,23.350000000000023,28,4,2.12,CF,1704157105
97,puerto ayora,-0.7393,-90.3518,25.310000000000002,96,44,0.89,EC,1704157106
98,margaret river,-33.95,115.0667,20.820000000000046,60,16,6.36,AU,1704156974
99,mogadishu,2.0371,45.3438,25.910000000000025,81,100,7.68,SO,1704157108
100,taulaga,-11.0553,-171.0883,28.90000000000004,70,42,1.96,AS,1704157108
101,san patricio,28.017,-97.5169,16.920000000000016,65,100,4.35,US,1704157109
102,muang xay,20.7,101.9833,16.760000000000048,75,0,0.25,LA,1704157110
103,carnarvon,-24.8667,113.6333,25.390000000000047,55,1,11.41,AU,1704157112
104,aasiaat,68.7098,-52.8699,-18.489999999999984,89,58,5.46,GL,1704157113
105,hermanus,-34.4187,19.2345,19.890000000000043,88,0,5.5,ZA,1704157114
106,rustenburg,-25.6676,27.2421,20.520000000000035,70,6,5.82,ZA,1704157115
107,merizo village,13.2658,144.6691,29.99000000000001,86,51,5.7,GU,1704157116
108,petropavlovsk-kamchatsky,53.0452,158.6483,-15.669999999999959,47,0,4.0,RU,1704157117
109,kayangel,8.0823,134.7173,28.840000000000032,71,46,4.18,PW,1704157118
110,dryden,49.7833,-92.7503,-3.839999999999976,86,20,6.17,CA,1704157119
111,swift current,50.2834,-107.8014,-2.5499999999999545,100,100,5.66,CA,1704156824
112,malindi,-3.2175,40.1191,26.70000000000005,85,100,4.75,KE,1704157120
113,quchan,37.106,58.5095,1.2600000000000477,69,77,1.1,IR,1704157121
114,wanning,18.8003,110.3967,22.95000000000005,85,98,2.65,CN,1704157122
115,stanley,54.868,-1.6985,5.400000000000035,94,75,5.14,GB,1704157122
116,mili,6.0815,171.735,28.03000000000003,79,20,9.49,MH,1704157123
117,tadine,-21.55,167.8833,28.03000000000003,68,13,5.8,NC,1704157124
118,santiago de cao,-7.9589,-79.2392,22.070000000000046,83,75,5.66,PE,1704157125
119,lamarque,-39.423,-65.7021,23.620000000000005,56,88,10.7,AR,1704157126
120,ghormach,35.7306,63.7826,6.58000000000004,41,100,2.23,AF,1704157127
121,mount gambier,-37.8333,140.7667,23.210000000000036,60,100,4.86,AU,1704157128
122,kodiak,57.79,-152.4072,3.730000000000019,87,100,12.35,US,1704157129
123,al ghayzah,16.2079,52.176,22.23000000000002,83,2,1.61,YE,1704157130
124,tauranga,-37.6861,176.1667,23.970000000000024,59,8,3.18,NZ,1704157130
125,sao vicente,-23.9631,-46.3919,25.150000000000038,26,37,3.18,BR,1704156930
126,punta arenas,-53.15,-70.9167,18.060000000000006,55,75,7.72,CL,1704157132
127,rikaze,29.25,88.8833,-8.70999999999998,51,0,1.36,CN,1704157133
128,singaparna,-7.3515,108.111,25.520000000000035,86,100,0.82,ID,1704157134
129,howard springs,-12.497,131.047,33.79000000000001,80,88,1.54,AU,1704157134
130,leava,-14.3,-178.1667,28.14000000000004,76,92,5.41,WF,1704157135
131,emmett,43.8735,-116.4993,3.9399999999999995,87,0,0.29,US,1704157136
132,bakchar,57.0186,82.0711,-0.810000000000003,96,100,4.78,RU,1704157137
133,bageshwar,29.85,79.7667,6.220000000000026,41,0,1.33,IN,1704157138
134,vilyuysk,63.7553,121.6247,-26.10999999999999,98,100,2.24,RU,1704157139
135,karratha,-20.7377,116.8463,34.390000000000036,31,0,4.97,AU,1704157139
136,hamilton,39.1834,-84.5333,3.010000000000047,81,100,2.57,US,1704157140
137,taoudenni,22.6783,-3.9836,19.060000000000002,19,96,4.03,ML,1704157141
138,puerto ayacucho,5.6639,-67.6236,28.27000000000004,68,100,1.89,VE,1704157142
139,suoyarvi,62.0833,32.35,-24.069999999999965,99,67,2.37,RU,1704157143
140,hit,33.6416,42.8251,12.280000000000031,57,100,0.13,IQ,1704157144
141,krasnyy chikoy,50.3643,108.7512,-21.45999999999998,98,58,0.73,RU,1704157145
142,siwa oasis,29.2041,25.5195,13.240000000000009,61,0,2.06,EG,1704157146
143,the pas,53.8251,-101.2541,-0.9899999999999527,86,100,5.66,CA,1704157146
144,la romana,18.4273,-68.9728,24.20000000000005,88,20,2.57,DO,1704157147
